codigo nome
110001 ALTA FLORESTA D'OESTE;7;2;9
110002 ARIQUEMES;154;49;203
110003 CABIXI;9;1;10
110004 CACOAL;112;216;328
110005 CEREJEIRAS;151;5;156
110006 COLORADO DO OESTE;61;8;69
110007 CORUMBIARA;36;2;38
110008 COSTA MARQUES;28;29;57
110009 ESPIGAO D'OESTE;125;24;149
110010 GUAJARA-MIRIM;29;73;102
110011 JARU;118;37;155
110012 JI-PARANA;9;79;88
110013 MACHADINHO D'OESTE;40;16;56
110014 NOVA BRASILANDIA D'OESTE;239;40;279
110015 OURO PRETO DO OESTE;10;7;17
110018 PIMENTA BUENO;38;49;87
110020 PORTO VELHO;300;213;513
110025 PRESIDENTE MEDICI;18;41;59
110026 RIO CRESPO;16;3;19
110028 ROLIM DE MOURA;151;16;167
110029 SANTA LUZIA D'OESTE;29;10;39
110030 VILHENA;1144;101;1245
110032 SAO MIGUEL DO GUAPORE;90;38;128
110033 NOVA MAMORE;219;9;228
110034 ALVORADA D'OESTE;2;1;3
110037 ALTO ALEGRE DOS PARECIS;80;4;84
110040 ALTO PARAISO;12;27;39
110045 BURITIS;199;243;442
110050 NOVO HORIZONTE DO OESTE;1;14;15
110060 CACAULANDIA;22;6;28
110070 CAMPO NOVO DE RONDONIA;9;76;85
110080 CANDEIAS DO JAMARI;-;7;7
110090 CASTANHEIRAS;-;35;35
110092 CHUPINGUAIA;7;92;99
110094 CUJUBIM;-;8;8
110100 GOVERNADOR JORGE TEIXEIRA;9;2;11
110110 ITAPUA DO OESTE;117;58;175
110120 MINISTRO ANDREAZZA;5;35;40
110130 MIRANTE DA SERRA;1;-;1
110140 MONTE NEGRO;18;291;309
110143 NOVA UNIAO;2;2;4
110145 PARECIS;51;74;125
110146 PIMENTEIRAS DO OESTE;18;1;19
110147 PRIMAVERA DE RONDONIA;90;34;124
110148 SAO FELIPE D'OESTE;23;4;27
110149 SAO FRANCISCO DO GUAPORE;56;64;120
110150 SERINGUEIRAS;-;110;110
110155 TEIXEIROPOLIS;1;9;10
110160 THEOBROMA;12;4;16
110170 URUPA;1;26;27
110175 VALE DO ANARI;36;2;38
110180 VALE DO PARAISO;1;1;2
 MUNICIPIO IGNORADO - AC;-;-;-
120001 ACRELANDIA;31;175;206
120005 ASSIS BRASIL;192;463;655
120010 BRASILEIA;716;545;1261
120013 BUJARI;4;71;75
120017 CAPIXABA;1;82;83
120020 CRUZEIRO DO SUL;2719;1198;3917
120025 EPITACIOLANDIA;83;36;119
120030 FEIJO;48;576;624
120032 JORDAO;-;1;1
120033 MANCIO LIMA;124;237;361
120034 MANOEL URBANO;7;223;230
120035 MARECHAL THAUMATURGO;582;512;1094
120038 PLACIDO DE CASTRO;3;34;37
120039 PORTO WALTER;22;11;33
120040 RIO BRANCO;1393;5732;7125
120042 RODRIGUES ALVES;358;474;832
120043 SANTA ROSA DO PURUS;-;-;-
120045 SENADOR GUIOMARD;24;28;52
120050 SENA MADUREIRA;67;641;708
120060 TARAUACA;766;3024;3790
120070 XAPURI;232;862;1094
120080 PORTO ACRE;129;84;213
 MUNICIPIO IGNORADO - AM;-;-;-
130002 ALVARAES;-;18;18
130006 AMATURA;-;3;3
130008 ANAMA;-;-;-
130010 ANORI;-;3;3
130014 APUI;-;-;-
130020 ATALAIA DO NORTE;9;3;12
130030 AUTAZES;-;1;1
130040 BARCELOS;45;5;50
130050 BARREIRINHA;-;-;-
130060 BENJAMIN CONSTANT;582;83;665
130063 BERURI;-;16;16
130068 BOA VISTA DO RAMOS;-;1;1
130070 BOCA DO ACRE;647;117;764
130080 BORBA;16;25;41
130083 CAAPIRANGA;-;1;1
130090 CANUTAMA;-;-;-
130100 CARAUARI;335;40;375
130110 CAREIRO;5;-;5
130115 CAREIRO DA VARZEA;-;-;-
130120 COARI;7;7;14
130130 CODAJAS;7;18;25
130140 EIRUNEPE;269;109;378
130150 ENVIRA;23;131;154
130160 FONTE BOA;1;3;4
130165 GUAJARA;377;44;421
130170 HUMAITA;148;213;361
130180 IPIXUNA;31;140;171
130185 IRANDUBA;8;281;289
130190 ITACOATIARA;19;13;32
130195 ITAMARATI;-;-;-
130200 ITAPIRANGA;-;-;-
130210 JAPURA;-;3;3
130220 JURUA;-;-;-
130230 JUTAI;507;223;730
130240 LABREA;592;337;929
130250 MANACAPURU;8;174;182
130255 MANAQUIRI;-;-;-
130260 MANAUS;954;4013;4967
130270 MANICORE;15;485;500
130280 MARAA;-;-;-
130290 MAUES;-;5;5
130300 NHAMUNDA;-;-;-
130310 NOVA OLINDA DO NORTE;-;-;-
130320 NOVO AIRAO;-;12;12
130330 NOVO ARIPUANA;11;5;16
130340 PARINTINS;29;34;63
130350 PAUINI;1;2;3
130353 PRESIDENTE FIGUEIREDO;90;41;131
130356 RIO PRETO DA EVA;4;11;15
130360 SANTA ISABEL DO RIO NEGRO;42;16;58
130370 SANTO ANTONIO DO ICA;36;82;118
130380 SAO GABRIEL DA CACHOEIRA;830;24;854
130390 SAO PAULO DE OLIVENCA;14;130;144
130395 SAO SEBASTIAO DO UATUMA;-;25;25
130400 SILVES;-;-;-
130406 TABATINGA;97;144;241
130410 TAPAUA;-;939;939
130420 TEFE;61;262;323
130423 TONANTINS;19;22;41
130426 UARINI;-;-;-
130430 URUCARA;-;-;-
130440 URUCURITUBA;-;1;1
 MUNICIPIO IGNORADO - RR;-;-;-
140002 AMAJARI;4;-;4
140005 ALTO ALEGRE;-;7;7
140010 BOA VISTA;357;41;398
140015 BONFIM;11;5;16
140017 CANTA;23;-;23
140020 CARACARAI;10;7;17
140023 CAROEBE;3;13;16
140028 IRACEMA;-;3;3
140030 MUCAJAI;7;6;13
140040 NORMANDIA;35;-;35
140045 PACARAIMA;-;-;-
140047 RORAINOPOLIS;17;18;35
140050 SAO JOAO DA BALIZA;-;11;11
140060 SAO LUIZ;1;-;1
140070 UIRAMUTA;-;-;-
 MUNICIPIO IGNORADO - PA;-;-;-
150010 ABAETETUBA;15;10;25
150013 ABEL FIGUEIREDO;1;-;1
150020 ACARA;3;7;10
150030 AFUA;-;-;-
150034 AGUA AZUL DO NORTE;4;26;30
150040 ALENQUER;43;111;154
150050 ALMEIRIM;-;-;-
150060 ALTAMIRA;304;202;506
150070 ANAJAS;-;-;-
150080 ANANINDEUA;43;17;60
150085 ANAPU;17;2;19
150090 AUGUSTO CORREA;17;9;26
150095 AURORA DO PARA;-;1;1
150100 AVEIRO;-;-;-
150110 BAGRE;2;-;2
150120 BAIAO;-;3;3
150125 BANNACH;54;25;79
150130 BARCARENA;9;2;11
150140 BELEM;223;624;847
150145 BELTERRA;17;23;40
150150 BENEVIDES;14;18;32
150157 BOM JESUS DO TOCANTINS;-;-;-
150160 BONITO;5;-;5
150170 BRAGANCA;12;8;20
150172 BRASIL NOVO;28;12;40
150175 BREJO GRANDE DO ARAGUAIA;4;7;11
150178 BREU BRANCO;10;-;10
150180 BREVES;3;1;4
150190 BUJARU;-;-;-
150195 CACHOEIRA DO PIRIA;2;-;2
150200 CACHOEIRA DO ARARI;-;-;-
150210 CAMETA;72;13;85
150215 CANAA DOS CARAJAS;10;49;59
150220 CAPANEMA;24;13;37
150230 CAPITAO POCO;-;-;-
150240 CASTANHAL;45;16;61
150250 CHAVES;-;-;-
150260 COLARES;-;1;1
150270 CONCEICAO DO ARAGUAIA;50;853;903
150275 CONCORDIA DO PARA;2;2;4
150276 CUMARU DO NORTE;21;36;57
150277 CURIONOPOLIS;-;-;-
150280 CURRALINHO;3;2;5
150285 CURUA;-;-;-
150290 CURUCA;-;-;-
150293 DOM ELISEU;8;-;8
150295 ELDORADO DOS CARAJAS;-;1;1
150300 FARO;1;-;1
150304 FLORESTA DO ARAGUAIA;2;65;67
150307 GARRAFAO DO NORTE;-;-;-
150309 GOIANESIA DO PARA;37;-;37
150310 GURUPA;-;-;-
150320 IGARAPE-ACU;14;-;14
150330 IGARAPE-MIRI;3;31;34
150340 INHANGAPI;2;2;4
150345 IPIXUNA DO PARA;7;8;15
150350 IRITUIA;5;1;6
150360 ITAITUBA;131;514;645
150370 ITUPIRANGA;7;1;8
150375 JACAREACANGA;-;-;-
150380 JACUNDA;11;2;13
150390 JURUTI;1;8;9
150400 LIMOEIRO DO AJURU;1;-;1
150405 MAE DO RIO;-;-;-
150410 MAGALHAES BARATA;-;2;2
150420 MARABA;1;8;9
150430 MARACANA;-;-;-
150440 MARAPANIM;-;-;-
